Organism	Feature_A	Feature_B	Mutual_Information
Mus musculus	freq_D	freq_P	0.0855
Mus musculus	freq_D	freq_Q	0.1203
Mus musculus	freq_D	freq_R	0.0857
Mus musculus	freq_D	freq_S	0.0576
Mus musculus	freq_D	freq_T	0.1069
Mus musculus	freq_D	freq_V	0.098
Mus musculus	freq_D	freq_W	0.0878
Mus musculus	freq_D	freq_Y	0.1208
Mus musculus	freq_E	freq_F	0.1366
Mus musculus	freq_E	freq_G	0.1102
Mus musculus	freq_E	freq_H	0.0848
Mus musculus	freq_E	freq_I	0.0494
Mus musculus	freq_E	freq_K	0.1728
Mus musculus	freq_E	freq_L	0.0565
Mus musculus	freq_E	freq_M	0.0945
Mus musculus	freq_E	freq_N	0.0658
Mus musculus	freq_E	freq_P	0.1048
Mus musculus	freq_E	freq_Q	0.0885
Mus musculus	freq_E	freq_R	0.0901
Mus musculus	freq_E	freq_S	0.0529
Mus musculus	freq_E	freq_T	0.0559
Mus musculus	freq_E	freq_V	0.1011
Mus musculus	freq_E	freq_W	0.1074
Mus musculus	freq_E	freq_Y	0.1154
Mus musculus	freq_F	freq_G	0.0549
Mus musculus	freq_F	freq_H	0.1533
Mus musculus	freq_F	freq_I	0.1682
Mus musculus	freq_F	freq_K	0.0772
Mus musculus	freq_F	freq_L	0.0597
Mus musculus	freq_F	freq_M	0.1855
Mus musculus	freq_F	freq_N	0.1601
Mus musculus	freq_F	freq_P	0.1092
Mus musculus	freq_F	freq_Q	0.1831
Mus musculus	freq_F	freq_R	0.1291
Mus musculus	freq_F	freq_S	0.0625
Mus musculus	freq_F	freq_T	0.1091
Mus musculus	freq_F	freq_V	0.0993
Mus musculus	freq_F	freq_W	0.2126
Mus musculus	freq_F	freq_Y	0.2409
Mus musculus	freq_G	freq_H	0.0666
Mus musculus	freq_G	freq_I	0.0783
Mus musculus	freq_G	freq_K	0.1128
Mus musculus	freq_G	freq_L	0.0544
Mus musculus	freq_G	freq_M	0.0963
Mus musculus	freq_G	freq_N	0.0738
Mus musculus	freq_G	freq_P	0.1186
Mus musculus	freq_G	freq_Q	0.0694
Mus musculus	freq_G	freq_R	0.0658
Mus musculus	freq_G	freq_S	0.0532
Mus musculus	freq_G	freq_T	0.061
Mus musculus	freq_G	freq_V	0.0772
Mus musculus	freq_G	freq_W	0.0644
Mus musculus	freq_G	freq_Y	0.0756
Mus musculus	freq_H	freq_I	0.1221
Mus musculus	freq_H	freq_K	0.0925
Mus musculus	freq_H	freq_L	0.0526
Mus musculus	freq_H	freq_M	0.2864
Mus musculus	freq_H	freq_N	0.156
Mus musculus	freq_H	freq_P	0.1074
Mus musculus	freq_H	freq_Q	0.1461
Mus musculus	freq_H	freq_R	0.0958
Mus musculus	freq_H	freq_S	0.0552
